content,score,Label,text_clean,text_Stopword,text_tokens,text_tokens_stemmed,Label NB
"Setiap apply lamaran disini, bbrpa hari atau bbrpa minggu kemudian balasan stiap perusaahan sama, pekerjaan sebagai ""...."" telah kadaluwarsa/Tutup, semua gtu.. Beda sama apk Kita Lulus, mkanya jarang kali buka Jobstreet",1,negatif,setiap apply lamaran disini bbrpa hari atau bbrpa minggu kemudian balasan stiap perusaahan sama pekerjaan sebagai  telah kadaluwarsatutup semua gtu beda sama apk kita lulus mkanya jarang kali buka jobstreet,apply lamaran bbrpa bbrpa minggu balasan stiap perusaahan pekerjaan kadaluwarsatutup gtu beda apk lulus mkanya jarang kali buka jobstreet,"['apply', 'lamaran', 'bbrpa', 'bbrpa', 'minggu', 'balasan', 'stiap', 'perusaahan', 'pekerjaan', 'kadaluwarsatutup', 'gtu', 'beda', 'apk', 'lulus', 'mkanya', 'jarang', 'kali', 'buka', 'jobstreet']",apply lamar bbrpa bbrpa minggu balas stiap perusaahan kerja kadaluwarsatutup gtu beda apk lulus mkanya jarang kali buka jobstreet,negatif
Worth it,2,negatif,worth it,worth it,"['worth', 'it']",worth it,negatif
"Jadi susah re login by seek, gagal terus",1,negatif,jadi susah re login by seek gagal terus,susah re login by seek gagal,"['susah', 're', 'login', 'by', 'seek', 'gagal']",susah re login by seek gagal,negatif
"TOLONG DI PERBAIKI MASALAH YANG ADA DI APLIKASI UNTUK LOGIN YANG EROR!! GAUSAH SURUH SCREENSHOT""AN DI KASIH BUKTII JUGA GAADAA PERBAIKANN!!!",1,negatif,tolong di perbaiki masalah yang ada di aplikasi untuk login yang eror gausah suruh screenshotan di kasih buktii juga gaadaa perbaikann,tolong perbaiki aplikasi login eror gausah suruh screenshotan kasih buktii gaadaa perbaikann,"['tolong', 'perbaiki', 'aplikasi', 'login', 'eror', 'gausah', 'suruh', 'screenshotan', 'kasih', 'buktii', 'gaadaa', 'perbaikann']",tolong baik aplikasi login eror gausah suruh screenshotan kasih bukti gaadaa perbaikann,negatif
Excellent,5,positif,excellent,excellent,['excellent'],excellent,positif
Good job,5,positif,good job,good job,"['good', 'job']",good job,positif
"Ribet persyaratan, baru lulus ditanya pengalaman kerja, kan bloon, udah punya pengalaman tanya usia tidak masuk sleksi terlalu tua sedikit, maunya apa setan.",1,negatif,ribet persyaratan baru lulus ditanya pengalaman kerja kan bloon udah punya pengalaman tanya usia tidak masuk sleksi terlalu tua sedikit maunya apa setan,ribet persyaratan lulus pengalaman kerja bloon udah pengalaman usia masuk sleksi tua maunya setan,"['ribet', 'persyaratan', 'lulus', 'pengalaman', 'kerja', 'bloon', 'udah', 'pengalaman', 'usia', 'masuk', 'sleksi', 'tua', 'maunya', 'setan']",ribet syarat lulus alam kerja bloon udah alam usia masuk sleksi tua mau setan,negatif
Ok google scatter superwin+jp,5,positif,ok google scatter superwinjp,ok google scatter superwinjp,"['ok', 'google', 'scatter', 'superwinjp']",ok google scatter superwinjp,positif
Burukkk jangan download soalnya login gak bisa,1,negatif,burukkk jangan download soalnya login gak bisa,burukkk download login gak,"['burukkk', 'download', 'login', 'gak']",burukkk download login gak,negatif
Good,5,positif,good,good,['good'],good,positif
udah beberapa kali download tetep gabisa login terus,2,negatif,udah beberapa kali download tetep gabisa login terus,udah kali download tetep gabisa login,"['udah', 'kali', 'download', 'tetep', 'gabisa', 'login']",udah kali download tetep gabisa login,negatif
"Saya sudah punya akun, tapi kenapa saat ingin login kembali susah? Padahal jaringan sangat baik. Saya coba besok lagi, besoknya lagi, dan terus seperti itu. Bagaimana solusinya ya agar bisa login kembali? Terima kasih",2,negatif,saya sudah punya akun tapi kenapa saat ingin login kembali susah padahal jaringan sangat baik saya coba besok lagi besoknya lagi dan terus seperti itu bagaimana solusinya ya agar bisa login kembali terima kasih,akun login susah jaringan coba besok besoknya solusinya ya login terima kasih,"['akun', 'login', 'susah', 'jaringan', 'coba', 'besok', 'besoknya', 'solusinya', 'ya', 'login', 'terima', 'kasih']",akun login susah jaring coba besok besok solusi ya login terima kasih,negatif
"Jobstreet lagi kenapa sihh? Masa akun saya tiba"" keluar trus disuruh login lagi? Saya lupa kata sandi nya, saya mau ngubah sandi nya disuruh verifikasi email tapi gaada kelanjutan nya. Tolong dong diperbaiki, udah coba buat daftar lagi pake email baru tetep aja gabisa",2,negatif,jobstreet lagi kenapa sihh masa akun saya tiba keluar trus disuruh login lagi saya lupa kata sandi nya saya mau ngubah sandi nya disuruh verifikasi email tapi gaada kelanjutan nya tolong dong diperbaiki udah coba buat daftar lagi pake email baru tetep aja gabisa,jobstreet sihh akun trus disuruh login lupa sandi nya ngubah sandi nya disuruh verifikasi email gaada kelanjutan nya tolong diperbaiki udah coba daftar pake email tetep aja gabisa,"['jobstreet', 'sihh', 'akun', 'trus', 'disuruh', 'login', 'lupa', 'sandi', 'nya', 'ngubah', 'sandi', 'nya', 'disuruh', 'verifikasi', 'email', 'gaada', 'kelanjutan', 'nya', 'tolong', 'diperbaiki', 'udah', 'coba', 'daftar', 'pake', 'email', 'tetep', 'aja', 'gabisa']",jobstreet sihh akun trus suruh login lupa sandi nya ngubah sandi nya suruh verifikasi email gaada lanjut nya tolong baik udah coba daftar pake email tetep aja gabisa,negatif
"Dear Jobstreet Tolong lebih diperhatikan lagi terkait database pengguna, Masa gak pernah apply tiba tiba nomor kita dihubungi,mana pake nomor asing bukan nomor indo. Tolong lebih di enkripsi serta di private lagi terkait database pengguna",2,negatif,dear jobstreet tolong lebih diperhatikan lagi terkait database pengguna masa gak pernah apply tiba tiba nomor kita dihubungimana pake nomor asing bukan nomor indo tolong lebih di enkripsi serta di private lagi terkait database pengguna,dear jobstreet tolong diperhatikan terkait database pengguna gak apply nomor dihubungimana pake nomor asing nomor indo tolong enkripsi private terkait database pengguna,"['dear', 'jobstreet', 'tolong', 'diperhatikan', 'terkait', 'database', 'pengguna', 'gak', 'apply', 'nomor', 'dihubungimana', 'pake', 'nomor', 'asing', 'nomor', 'indo', 'tolong', 'enkripsi', 'private', 'terkait', 'database', 'pengguna']",dear jobstreet tolong perhati kait database guna gak apply nomor dihubungimana pake nomor asing nomor indo tolong enkripsi private kait database guna,negatif
Sudah di complain berulang kali tetap tidak ada tindakan untuk benahi untuk aplikasi,1,negatif,sudah di complain berulang kali tetap tidak ada tindakan untuk benahi untuk aplikasi,complain berulang kali tindakan benahi aplikasi,"['complain', 'berulang', 'kali', 'tindakan', 'benahi', 'aplikasi']",complain ulang kali tindak benah aplikasi,negatif
Berkali2 sign in gabisa. Aneh banget! Udah reset password berkali2 juga gak ngaruh aneh!,1,negatif,berkali2 sign in gabisa aneh banget udah reset password berkali2 juga gak ngaruh aneh,berkali2 sign in gabisa aneh banget udah reset password berkali2 gak ngaruh aneh,"['berkali2', 'sign', 'in', 'gabisa', 'aneh', 'banget', 'udah', 'reset', 'password', 'berkali2', 'gak', 'ngaruh', 'aneh']",berkali2 sign in gabisa aneh banget udah reset password berkali2 gak ngaruh aneh,negatif
aneh tiba tiba keluar dari akun waktu di login ulang malah gabisa masuk lagi ke halaman akun jobstreet saya,2,negatif,aneh tiba tiba keluar dari akun waktu di login ulang malah gabisa masuk lagi ke halaman akun jobstreet saya,aneh akun login ulang gabisa masuk halaman akun jobstreet,"['aneh', 'akun', 'login', 'ulang', 'gabisa', 'masuk', 'halaman', 'akun', 'jobstreet']",aneh akun login ulang gabisa masuk halaman akun jobstreet,negatif
ok,5,positif,ok,ok,['ok'],ok,positif
Terimakasih saya dapat kerjaan dari jobstreet,5,positif,terimakasih saya dapat kerjaan dari jobstreet,terimakasih kerjaan jobstreet,"['terimakasih', 'kerjaan', 'jobstreet']",terimakasih kerja jobstreet,positif
