userName,at,content,text_tokens_stemmed,Label,Label NB,Label SVM
Pengguna Google,2024-12-12 08:14:23,"Setiap apply lamaran disini, bbrpa hari atau bbrpa minggu kemudian balasan stiap perusaahan sama, pekerjaan sebagai ""...."" telah kadaluwarsa/Tutup, semua gtu.. Beda sama apk Kita Lulus, mkanya jarang kali buka Jobstreet",apply lamar bbrpa bbrpa minggu balas stiap perusaahan kerja kadaluwarsatutup gtu beda apk lulus mkanya jarang kali buka jobstreet,negatif,negatif,negatif
Pengguna Google,2024-12-12 04:27:59,Worth it,worth it,negatif,negatif,negatif
Pengguna Google,2024-12-11 23:41:41,"Jadi susah re login by seek, gagal terus",susah re login by seek gagal,negatif,negatif,negatif
Pengguna Google,2024-12-11 22:51:25,"TOLONG DI PERBAIKI MASALAH YANG ADA DI APLIKASI UNTUK LOGIN YANG EROR!! GAUSAH SURUH SCREENSHOT""AN DI KASIH BUKTII JUGA GAADAA PERBAIKANN!!!",tolong baik aplikasi login eror gausah suruh screenshotan kasih bukti gaadaa perbaikann,negatif,negatif,negatif
Pengguna Google,2024-12-11 12:00:10,Excellent,excellent,positif,positif,positif
Pengguna Google,2024-12-11 11:18:40,Good job,good job,positif,positif,positif
Pengguna Google,2024-12-11 10:16:22,"Ribet persyaratan, baru lulus ditanya pengalaman kerja, kan bloon, udah punya pengalaman tanya usia tidak masuk sleksi terlalu tua sedikit, maunya apa setan.",ribet syarat lulus alam kerja bloon udah alam usia masuk sleksi tua mau setan,negatif,negatif,negatif
Pengguna Google,2024-12-11 04:58:22,Ok google scatter superwin+jp,ok google scatter superwinjp,positif,positif,positif
Pengguna Google,2024-12-10 20:40:43,Burukkk jangan download soalnya login gak bisa,burukkk download login gak,negatif,negatif,negatif
Pengguna Google,2024-12-10 19:49:59,Good,good,positif,positif,positif
Pengguna Google,2024-12-10 19:40:24,udah beberapa kali download tetep gabisa login terus,udah kali download tetep gabisa login,negatif,negatif,negatif
Pengguna Google,2024-12-10 18:53:40,"Saya sudah punya akun, tapi kenapa saat ingin login kembali susah? Padahal jaringan sangat baik. Saya coba besok lagi, besoknya lagi, dan terus seperti itu. Bagaimana solusinya ya agar bisa login kembali? Terima kasih",akun login susah jaring coba besok besok solusi ya login terima kasih,negatif,negatif,negatif
Pengguna Google,2024-12-10 13:03:21,"Jobstreet lagi kenapa sihh? Masa akun saya tiba"" keluar trus disuruh login lagi? Saya lupa kata sandi nya, saya mau ngubah sandi nya disuruh verifikasi email tapi gaada kelanjutan nya. Tolong dong diperbaiki, udah coba buat daftar lagi pake email baru tetep aja gabisa",jobstreet sihh akun trus suruh login lupa sandi nya ngubah sandi nya suruh verifikasi email gaada lanjut nya tolong baik udah coba daftar pake email tetep aja gabisa,negatif,negatif,negatif
Pengguna Google,2024-12-10 12:39:27,"Dear Jobstreet Tolong lebih diperhatikan lagi terkait database pengguna, Masa gak pernah apply tiba tiba nomor kita dihubungi,mana pake nomor asing bukan nomor indo. Tolong lebih di enkripsi serta di private lagi terkait database pengguna",dear jobstreet tolong perhati kait database guna gak apply nomor dihubungimana pake nomor asing nomor indo tolong enkripsi private kait database guna,negatif,negatif,negatif
Pengguna Google,2024-12-10 11:53:17,Sudah di complain berulang kali tetap tidak ada tindakan untuk benahi untuk aplikasi,complain ulang kali tindak benah aplikasi,negatif,negatif,negatif
Pengguna Google,2024-12-10 10:09:15,Berkali2 sign in gabisa. Aneh banget! Udah reset password berkali2 juga gak ngaruh aneh!,berkali2 sign in gabisa aneh banget udah reset password berkali2 gak ngaruh aneh,negatif,negatif,negatif
Pengguna Google,2024-12-10 10:07:08,aneh tiba tiba keluar dari akun waktu di login ulang malah gabisa masuk lagi ke halaman akun jobstreet saya,aneh akun login ulang gabisa masuk halaman akun jobstreet,negatif,negatif,negatif
Pengguna Google,2024-12-10 09:46:56,ok,ok,positif,positif,positif
Pengguna Google,2024-12-10 08:05:29,Terimakasih saya dapat kerjaan dari jobstreet,terimakasih kerja jobstreet,positif,positif,positif
Pengguna Google,2024-12-10 08:05:15,"Jobstreet adalah aplikasi terpercaya bagi perusahaan yang mencari tenaga kerja maupun bagi pencari kerja yang membutuhkan informasi lowongan pekerjaan. Sukses selalu untuk jobstreet dan selalu menjadi berkat bagi bangsa Indonesia, bagi perusahaan dan pencari kerja.",jobstreet aplikasi percaya usaha cari tenaga kerja cari kerja butuh informasi lowong kerja sukses jobstreet berkat bangsa indonesia usaha cari kerja,positif,positif,positif
Pengguna Google,2024-12-09 23:33:34,"Aplikasi nya buat naik darah Sudah sign ini, terus klik berikutnya Ga bisa sama sekali Bolak balik begitu aja..",aplikasi nya darah sign klik ga bolak aja,negatif,negatif,negatif
Pengguna Google,2024-12-09 21:23:33,Jelek ready to find mulu,jelek ready to find mulu,negatif,negatif,negatif
Pengguna Google,2024-12-09 16:57:00,Kenapa susah buat log in lagi ini ..,susah log in,negatif,negatif,negatif
Pengguna Google,2024-12-09 12:12:50,Done. Well done! Pencarian info lowongan kerja dan melamar kerja begitu mudah.,done well done cari info lowong kerja lamar kerja mudah,positif,positif,positif
Pengguna Google,2024-12-09 11:43:55,Jobstreet kenapa ya tiba² akun saya logout. Terus saya coba mau login kembali malah nggak bisa terus? Mohon bantuannya mengenai aplikasi ini,jobstreet ya akun logout coba login nggak mohon bantu aplikasi,negatif,negatif,negatif
Pengguna Google,2024-12-09 09:45:05,benerin ngapa ini app nga bisa login lagih,benerin ngapa app nga login lagih,negatif,negatif,negatif
Pengguna Google,2024-12-09 05:46:58,"Tiba-tiba auto log off. Tidak bisa di login kembali, walau sudah hapus cache, hapus program dan install ulang. Tetap tidak bisa. Kalau lewat browsing, lancar, dan sampai sekarang masih belum ada perbaikan.....",tibatiba auto log off login hapus cache hapus program install ulang browsing lancar baik,negatif,negatif,negatif
Pengguna Google,2024-12-08 23:33:17,Bagus sihhh aku baru buat lamaran langsung dipanggil interview,bagus sihhh lamar langsung panggil interview,positif,positif,positif
Pengguna Google,2024-12-08 21:50:55,"Semenjak jobstreet berubah jadi jobstreet by seek jadi tidak bisa log in , jikalau ada update2 terbaru silahkan tapi mohon segera di tangani dengan cepat kendala yang ada . Saya sudah punya akun pada saat mau log in dengan akun yang sebelumnya terdaftar malah tidak bisa padahal jaringan stabil , mohon untuk di follow up kembali mengenai kendala log in pada update an terbaru aplikasi .",semenjak jobstreet ubah jobstreet by seek log in update2 baru silah mohon tangan cepat kendala akun log in akun daftar jaring stabil mohon follow up kendala log in update an baru aplikasi,negatif,negatif,negatif
Pengguna Google,2024-12-08 14:16:16,Susah banget Lo gin nya kenapa ya,susah banget lo gin nya ya,negatif,negatif,negatif
Pengguna Google,2024-12-08 05:20:47,"Hallo jobstreet, aplikasinya tidak dapat di buka. Kenapa ya?",hallo jobstreet aplikasi buka ya,positif,negatif,positif
Pengguna Google,2024-12-07 22:03:28,Cepat & Akurat,cepat akurat,positif,positif,positif
