userName,score,at,content,text_clean,text_Stopword,text_tokens,text_tokens_stemmed
Pengguna Google,1,2024-12-12 08:14:23,"Setiap apply lamaran disini, bbrpa hari atau bbrpa minggu kemudian balasan stiap perusaahan sama, pekerjaan sebagai ""...."" telah kadaluwarsa/Tutup, semua gtu.. Beda sama apk Kita Lulus, mkanya jarang kali buka Jobstreet",setiap apply lamaran disini bbrpa hari atau bbrpa minggu kemudian balasan stiap perusaahan sama pekerjaan sebagai  telah kadaluwarsatutup semua gtu beda sama apk kita lulus mkanya jarang kali buka jobstreet,apply lamaran bbrpa bbrpa minggu balasan stiap perusaahan pekerjaan kadaluwarsatutup gtu beda apk lulus mkanya jarang kali buka jobstreet,"['apply', 'lamaran', 'bbrpa', 'bbrpa', 'minggu', 'balasan', 'stiap', 'perusaahan', 'pekerjaan', 'kadaluwarsatutup', 'gtu', 'beda', 'apk', 'lulus', 'mkanya', 'jarang', 'kali', 'buka', 'jobstreet']",apply lamar bbrpa bbrpa minggu balas stiap perusaahan kerja kadaluwarsatutup gtu beda apk lulus mkanya jarang kali buka jobstreet
Pengguna Google,3,2024-12-12 07:29:09,"min tolong ini ngebug, masa pas mau buka lowongan muter muter terus si aku make wifi buka aplikasi lain lancar, udh masuk keluar masuk keluar tetep muter jadi gabisa ngalamar tolong min",min tolong ini ngebug masa pas mau buka lowongan muter muter terus si aku make wifi buka aplikasi lain lancar udh masuk keluar masuk keluar tetep muter jadi gabisa ngalamar tolong min,min tolong ngebug pas buka lowongan muter muter si make wifi buka aplikasi lancar udh masuk masuk tetep muter gabisa ngalamar tolong min,"['min', 'tolong', 'ngebug', 'pas', 'buka', 'lowongan', 'muter', 'muter', 'si', 'make', 'wifi', 'buka', 'aplikasi', 'lancar', 'udh', 'masuk', 'masuk', 'tetep', 'muter', 'gabisa', 'ngalamar', 'tolong', 'min']",min tolong ngebug pas buka lowong muter muter si make wifi buka aplikasi lancar udh masuk masuk tetep muter gabisa ngalamar tolong min
Pengguna Google,2,2024-12-12 04:27:59,Worth it,worth it,worth it,"['worth', 'it']",worth it
Pengguna Google,1,2024-12-11 23:41:41,"Jadi susah re login by seek, gagal terus",jadi susah re login by seek gagal terus,susah re login by seek gagal,"['susah', 're', 'login', 'by', 'seek', 'gagal']",susah re login by seek gagal
Pengguna Google,1,2024-12-11 22:51:25,"TOLONG DI PERBAIKI MASALAH YANG ADA DI APLIKASI UNTUK LOGIN YANG EROR!! GAUSAH SURUH SCREENSHOT""AN DI KASIH BUKTII JUGA GAADAA PERBAIKANN!!!",tolong di perbaiki masalah yang ada di aplikasi untuk login yang eror gausah suruh screenshotan di kasih buktii juga gaadaa perbaikann,tolong perbaiki aplikasi login eror gausah suruh screenshotan kasih buktii gaadaa perbaikann,"['tolong', 'perbaiki', 'aplikasi', 'login', 'eror', 'gausah', 'suruh', 'screenshotan', 'kasih', 'buktii', 'gaadaa', 'perbaikann']",tolong baik aplikasi login eror gausah suruh screenshotan kasih bukti gaadaa perbaikann
Pengguna Google,3,2024-12-11 22:19:15,"Masa tiap 3 hari sekali log out terus Uda masukin data bener terjadi kesalahan terus Mohon diperbaiki lagi apk Kasian para pencari kerja jika terus""an begini",masa tiap 3 hari sekali log out terus uda masukin data bener terjadi kesalahan terus mohon diperbaiki lagi apk kasian para pencari kerja jika terusan begini,3 log out uda masukin data bener kesalahan mohon diperbaiki apk kasian pencari kerja terusan,"['3', 'log', 'out', 'uda', 'masukin', 'data', 'bener', 'kesalahan', 'mohon', 'diperbaiki', 'apk', 'kasian', 'pencari', 'kerja', 'terusan']",3 log out uda masukin data bener salah mohon baik apk kasi cari kerja terus
Pengguna Google,3,2024-12-11 18:57:03,ga jls apk nya baru sebentar buka udh load lama bgt pdhl jaringan oke oke aja,ga jls apk nya baru sebentar buka udh load lama bgt pdhl jaringan oke oke aja,ga jls apk nya sebentar buka udh load bgt pdhl jaringan oke oke aja,"['ga', 'jls', 'apk', 'nya', 'sebentar', 'buka', 'udh', 'load', 'bgt', 'pdhl', 'jaringan', 'oke', 'oke', 'aja']",ga jls apk nya sebentar buka udh load bgt pdhl jaring oke oke aja
Pengguna Google,3,2024-12-11 12:19:01,Susah banget buat masuk aplikasinya selalu mentok padahal sinyal kenceng,susah banget buat masuk aplikasinya selalu mentok padahal sinyal kenceng,susah banget masuk aplikasinya mentok sinyal kenceng,"['susah', 'banget', 'masuk', 'aplikasinya', 'mentok', 'sinyal', 'kenceng']",susah banget masuk aplikasi mentok sinyal kenceng
Pengguna Google,5,2024-12-11 12:00:10,Excellent,excellent,excellent,['excellent'],excellent
Pengguna Google,5,2024-12-11 11:18:40,Good job,good job,good job,"['good', 'job']",good job
