content,score,Label
"Setiap apply lamaran disini, bbrpa hari atau bbrpa minggu kemudian balasan stiap perusaahan sama, pekerjaan sebagai ""...."" telah kadaluwarsa/Tutup, semua gtu.. Beda sama apk Kita Lulus, mkanya jarang kali buka Jobstreet",1,negatif
Worth it,2,negatif
"Jadi susah re login by seek, gagal terus",1,negatif
"TOLONG DI PERBAIKI MASALAH YANG ADA DI APLIKASI UNTUK LOGIN YANG EROR!! GAUSAH SURUH SCREENSHOT""AN DI KASIH BUKTII JUGA GAADAA PERBAIKANN!!!",1,negatif
Excellent,5,positif
Good job,5,positif
"Ribet persyaratan, baru lulus ditanya pengalaman kerja, kan bloon, udah punya pengalaman tanya usia tidak masuk sleksi terlalu tua sedikit, maunya apa setan.",1,negatif
Ok google scatter superwin+jp,5,positif
Burukkk jangan download soalnya login gak bisa,1,negatif
Good,5,positif
udah beberapa kali download tetep gabisa login terus,2,negatif
"Saya sudah punya akun, tapi kenapa saat ingin login kembali susah? Padahal jaringan sangat baik. Saya coba besok lagi, besoknya lagi, dan terus seperti itu. Bagaimana solusinya ya agar bisa login kembali? Terima kasih",2,negatif
"Jobstreet lagi kenapa sihh? Masa akun saya tiba"" keluar trus disuruh login lagi? Saya lupa kata sandi nya, saya mau ngubah sandi nya disuruh verifikasi email tapi gaada kelanjutan nya. Tolong dong diperbaiki, udah coba buat daftar lagi pake email baru tetep aja gabisa",2,negatif
"Dear Jobstreet Tolong lebih diperhatikan lagi terkait database pengguna, Masa gak pernah apply tiba tiba nomor kita dihubungi,mana pake nomor asing bukan nomor indo. Tolong lebih di enkripsi serta di private lagi terkait database pengguna",2,negatif
Sudah di complain berulang kali tetap tidak ada tindakan untuk benahi untuk aplikasi,1,negatif
Berkali2 sign in gabisa. Aneh banget! Udah reset password berkali2 juga gak ngaruh aneh!,1,negatif
aneh tiba tiba keluar dari akun waktu di login ulang malah gabisa masuk lagi ke halaman akun jobstreet saya,2,negatif
ok,5,positif
Terimakasih saya dapat kerjaan dari jobstreet,5,positif
"Jobstreet adalah aplikasi terpercaya bagi perusahaan yang mencari tenaga kerja maupun bagi pencari kerja yang membutuhkan informasi lowongan pekerjaan. Sukses selalu untuk jobstreet dan selalu menjadi berkat bagi bangsa Indonesia, bagi perusahaan dan pencari kerja.",5,positif
"Aplikasi nya buat naik darah Sudah sign ini, terus klik berikutnya Ga bisa sama sekali Bolak balik begitu aja..",2,negatif
Jelek ready to find mulu,1,negatif
Kenapa susah buat log in lagi ini ..,1,negatif
Done. Well done! Pencarian info lowongan kerja dan melamar kerja begitu mudah.,5,positif
Jobstreet kenapa ya tiba² akun saya logout. Terus saya coba mau login kembali malah nggak bisa terus? Mohon bantuannya mengenai aplikasi ini,1,negatif
benerin ngapa ini app nga bisa login lagih,1,negatif
"Tiba-tiba auto log off. Tidak bisa di login kembali, walau sudah hapus cache, hapus program dan install ulang. Tetap tidak bisa. Kalau lewat browsing, lancar, dan sampai sekarang masih belum ada perbaikan.....",1,negatif
Bagus sihhh aku baru buat lamaran langsung dipanggil interview,5,positif
"Semenjak jobstreet berubah jadi jobstreet by seek jadi tidak bisa log in , jikalau ada update2 terbaru silahkan tapi mohon segera di tangani dengan cepat kendala yang ada . Saya sudah punya akun pada saat mau log in dengan akun yang sebelumnya terdaftar malah tidak bisa padahal jaringan stabil , mohon untuk di follow up kembali mengenai kendala log in pada update an terbaru aplikasi .",1,negatif
Susah banget Lo gin nya kenapa ya,1,negatif
"Hallo jobstreet, aplikasinya tidak dapat di buka. Kenapa ya?",5,positif
Cepat & Akurat,5,positif
"Baru kali ini pakai aplikasi untuk melamar kerja tapi data tidak aman, sudah berapa kali nomor saya di chat orang tidak dikenal yang menawarkan hal"" Diluar dari yang pernah saya apply di aplikasi ini, serius ini aplikasi gak bisa jaga kerahasiaan data? Sampe no telp saya kesebar? Setiap ada yang chat selalu isi pesannya dapat dari database jobstreet, tolong diperbaiki ya, kalau udah gini saya juga risih banyak yang chat.",2,negatif
Aplikasi error ya? Ko di klik berikutnya sehabis log in g bsa terus?,2,negatif
"Makin sini makin gk jelas apk ini, susah buat login mending bubar aja apknya",1,negatif
nomor telpon bocor kmn² dan sering kali disalahgunakan oleh penipu yg tiba² chat via wa,1,negatif
Ahh mkins bapet gak bisa login ulang😡,1,negatif
Terus terang dari dulu sewaktu jaman yahoo sekitar tahun 2000 sampai saya akhirnya ngojek saya belum pernah di pangggil oleh jobstreet ini ..ya mungkin karena saya bodoh kali ya . Sekrang sy umur sudah tua .. pengalaman saja Mohon maaf pa jobstreet,5,positif
