userName,score,at,content,text_clean,text_Stopword,text_tokens,text_tokens_stemmed,Label
Pengguna Google,5,2025-02-05 23:24:41,"Mantap jos pokoknya,, tpi kurang 1 sii klo bisa adain emas jugaa .. kaya apk sebelah .. biar enak 😁😁",mantap jos pokoknya tpi kurang 1 sii klo bisa adain emas jugaa  kaya apk sebelah  biar enak ,mantap jos pokoknya tpi 1 sii klo adain emas jugaa kaya apk sebelah biar enak,"['mantap', 'jos', 'pokoknya', 'tpi', '1', 'sii', 'klo', 'adain', 'emas', 'jugaa', 'kaya', 'apk', 'sebelah', 'biar', 'enak']",mantap jos pokok tpi 1 sii klo adain emas jugaa kaya apk belah biar enak,positif
Pengguna Google,1,2025-02-05 18:44:49,Deposit lama masuk termasuk salah satu apk yang paling buruk menurut gua untuk kripto dan saham,deposit lama masuk termasuk salah satu apk yang paling buruk menurut gua untuk kripto dan saham,deposit masuk salah apk buruk gua kripto saham,"['deposit', 'masuk', 'salah', 'apk', 'buruk', 'gua', 'kripto', 'saham']",deposit masuk salah apk buruk gua kripto saham,negatif
Pengguna Google,1,2025-02-05 12:53:22,mgkn saya tdk paham sama ini aplikasi atau kurang beruntung...😞😥,mgkn saya tdk paham sama ini aplikasi atau kurang beruntung,mgkn tdk paham aplikasi beruntung,"['mgkn', 'tdk', 'paham', 'aplikasi', 'beruntung']",mgkn tdk paham aplikasi untung,negatif
Pengguna Google,5,2025-02-05 10:13:47,Sangat membantu ❤,sangat membantu ,membantu,['membantu'],bantu,positif
Pengguna Google,5,2025-02-04 21:54:26,simple banget. enak buat newbe seperti aku,simple banget enak buat newbe seperti aku,simple banget enak newbe,"['simple', 'banget', 'enak', 'newbe']",simple banget enak newbe,positif
Pengguna Google,4,2025-02-04 16:49:15,bagua tp msh butuh pbaikan,bagua tp msh butuh pbaikan,bagua tp msh butuh pbaikan,"['bagua', 'tp', 'msh', 'butuh', 'pbaikan']",bagua tp msh butuh pbaikan,positif
Pengguna Google,5,2025-02-04 13:58:53,"Menurut saya apk reku mantab banget cmn kurang banyak aja pilihan aset kriptonya, tolong perbanyak lgi aset kriptonya listing meme coin khususnya dri meme coin solana",menurut saya apk reku mantab banget cmn kurang banyak aja pilihan aset kriptonya tolong perbanyak lgi aset kriptonya listing meme coin khususnya dri meme coin solana,apk reku mantab banget cmn aja pilihan aset kriptonya tolong perbanyak lgi aset kriptonya listing meme coin dri meme coin solana,"['apk', 'reku', 'mantab', 'banget', 'cmn', 'aja', 'pilihan', 'aset', 'kriptonya', 'tolong', 'perbanyak', 'lgi', 'aset', 'kriptonya', 'listing', 'meme', 'coin', 'dri', 'meme', 'coin', 'solana']",apk reku mantab banget cmn aja pilih aset kriptonya tolong banyak lgi aset kriptonya listing meme coin dri meme coin solana,positif
Pengguna Google,5,2025-02-04 13:39:10,"Reku adalah apk crypto terbaik yg pernah saya coba. Isilah usernme ini 🤌barokah🤌agar akunmu aktif ya.. Tampilannya simpel fiturnya lengkap, dan proses transaksinya cepat. Cocok buat pemula maupun yg sudah pengalaman, keamanan jg terjamin jadi aman untuk inves jangka panjang. Kalo untuk minusnya cuma 1,agak ribet jika ingin mengetahui profit suatu portofolio yg harus buka layer to layer, kedepannya semoga lebih berkembang dan lebih maju lagi apk nya .",reku adalah apk crypto terbaik yg pernah saya coba isilah usernme ini barokahagar akunmu aktif ya tampilannya simpel fiturnya lengkap dan proses transaksinya cepat cocok buat pemula maupun yg sudah pengalaman keamanan jg terjamin jadi aman untuk inves jangka panjang kalo untuk minusnya cuma 1agak ribet jika ingin mengetahui profit suatu portofolio yg harus buka layer to layer kedepannya semoga lebih berkembang dan lebih maju lagi apk nya ,reku apk crypto terbaik yg coba isilah usernme barokahagar akunmu aktif ya tampilannya simpel fiturnya lengkap proses transaksinya cepat cocok pemula yg pengalaman keamanan jg terjamin aman inves jangka kalo minusnya 1agak ribet profit portofolio yg buka layer to layer kedepannya semoga berkembang maju apk nya,"['reku', 'apk', 'crypto', 'terbaik', 'yg', 'coba', 'isilah', 'usernme', 'barokahagar', 'akunmu', 'aktif', 'ya', 'tampilannya', 'simpel', 'fiturnya', 'lengkap', 'proses', 'transaksinya', 'cepat', 'cocok', 'pemula', 'yg', 'pengalaman', 'keamanan', 'jg', 'terjamin', 'aman', 'inves', 'jangka', 'kalo', 'minusnya', '1agak', 'ribet', 'profit', 'portofolio', 'yg', 'buka', 'layer', 'to', 'layer', 'kedepannya', 'semoga', 'berkembang', 'maju', 'apk', 'nya']",reku apk crypto baik yg coba isi usernme barokahagar akun aktif ya tampil simpel fiturnya lengkap proses transaksi cepat cocok mula yg alam aman jg jamin aman inves jangka kalo minus 1agak ribet profit portofolio yg buka layer to layer depan moga kembang maju apk nya,positif
Pengguna Google,5,2025-02-04 11:34:42,best,best,best,['best'],best,positif
Pengguna Google,5,2025-02-04 03:11:05,nice,nice,nice,['nice'],nice,positif
