Word,D1,D10,D2,D3,D4,D5,D6,D7,D8,D9
18112023,0,0,0,0,0,0,0,0,0,1/4
abu,0,0,0,1200959900632131/18014398509481984,0,0,0,0,0,0
akses,0,0,0,0,0,2001599834386887/18014398509481984,0,0,0,0
akun,0,0,0,0,0,2001599834386887/18014398509481984,0,0,0,0
aplikasi,0,0,0,1200959900632131/18014398509481984,0,0,0,0,0,1/4
bagus,0,6004799503160661/18014398509481984,0,0,0,0,0,0,0,0
baik,0,0,0,0,0,2001599834386887/18014398509481984,0,0,0,0
banget,0,0,0,0,0,2001599834386887/18014398509481984,0,0,0,0
bintang,0,0,0,0,0,0,0,0,1/8,0
buka,0,0,0,0,0,0,0,0,1/8,0
butuh,0,0,0,0,0,0,0,6004799503160661/18014398509481984,0,0
cari,0,6004799503160661/18014398509481984,0,1200959900632131/18014398509481984,0,0,0,0,0,0
cepat,0,0,0,1200959900632131/18014398509481984,0,0,0,0,0,0
efisien,0,0,0,1200959900632131/18014398509481984,0,0,0,0,0,0
eror,0,0,0,0,0,0,0,0,1/8,0
form,0,0,0,1200959900632131/18014398509481984,0,0,0,0,0,0
gabisa,0,0,0,0,0,0,0,0,1/8,0
hasil,0,0,0,0,0,0,1/4,0,0,0
hilang,0,0,0,0,0,0,0,0,0,1/4
info,0,0,0,1200959900632131/18014398509481984,0,0,0,0,0,0
jobstreet,0,0,1/2,0,0,0,0,0,0,0
jos,0,0,0,0,0,0,0,6004799503160661/18014398509481984,0,0
kasih,0,0,0,0,0,0,0,0,1/8,0
kerja,0,6004799503160661/18014398509481984,0,300239975158033/2251799813685248,0,0,0,6004799503160661/18014398509481984,0,0
lamar,0,0,0,1200959900632131/18014398509481984,0,0,1/4,0,0,0
lambat,0,0,0,1200959900632131/18014398509481984,0,0,0,0,0,0
log,0,0,0,0,0,2001599834386887/18014398509481984,0,0,0,0
login,1,0,0,0,0,2001599834386887/18014398509481984,0,0,0,0
maaf,0,0,0,0,0,0,0,0,1/8,0
masuk,0,0,1/2,0,1/2,0,0,0,0,0
mingisi,0,0,0,1200959900632131/18014398509481984,0,0,0,0,0,0
moga,0,0,0,0,0,0,1/4,0,0,0
notice,0,0,0,0,0,0,0,0,1/8,0
notif,0,0,0,0,0,0,0,0,0,1/4
nya,0,0,0,0,0,0,1/4,0,0,0
out,0,0,0,0,0,2001599834386887/18014398509481984,0,0,0,0
pemberitahuan,0,0,0,1200959900632131/18014398509481984,0,0,0,0,0,0
pikir,0,0,0,1200959900632131/18014398509481984,0,0,0,0,0,0
satunotif,0,0,0,0,0,0,0,0,1/8,0
susah,0,0,0,0,1/2,2001599834386887/18014398509481984,0,0,0,0
tolong,0,0,0,0,0,2001599834386887/18014398509481984,0,0,0,0
yg,0,0,0,1200959900632131/18014398509481984,0,0,0,0,0,0
