userName,score,at,content,text_clean,text_Stopword,text_tokens,text_tokens_stemmed,Label,Label NB,Label SVM,Label SVM Average
Pengguna Google,1,2025-02-06 11:48:26,Tidak bisa login ..,tidak bisa login ,login,['login'],login,negatif,negatif,negatif,negatif
Pengguna Google,4,2025-02-06 10:57:42,Kenapa tidak bisa masuk ke jobstreet?,kenapa tidak bisa masuk ke jobstreet,masuk jobstreet,"['masuk', 'jobstreet']",masuk jobstreet,positif,negatif,negatif,negatif
Pengguna Google,1,2025-02-06 09:02:23,"Tidak ADA INFO cepat mengenai pemberitahuan lebih lanjut setelah mingisi form lamaran kerja, saya pikir ini aplikasi yg lambat dan tidak efisien dalam mencari pekerjaan karena masih abu""",tidak ada info cepat mengenai pemberitahuan lebih lanjut setelah mingisi form lamaran kerja saya pikir ini aplikasi yg lambat dan tidak efisien dalam mencari pekerjaan karena masih abu,info cepat pemberitahuan mingisi form lamaran kerja pikir aplikasi yg lambat efisien mencari pekerjaan abu,"['info', 'cepat', 'pemberitahuan', 'mingisi', 'form', 'lamaran', 'kerja', 'pikir', 'aplikasi', 'yg', 'lambat', 'efisien', 'mencari', 'pekerjaan', 'abu']",info cepat pemberitahuan mingisi form lamar kerja pikir aplikasi yg lambat efisien cari kerja abu,negatif,positif,negatif,positif
Pengguna Google,1,2025-02-05 08:58:50,Susah masuk,susah masuk,susah masuk,"['susah', 'masuk']",susah masuk,negatif,negatif,negatif,negatif
Pengguna Google,1,2025-02-04 19:48:15,"Akun tiba² log out sendiri, sekali mau login susah banget sekarang. Tolong perbaiki lagi supaya bisa diakses kembali seperti semula.",akun tiba log out sendiri sekali mau login susah banget sekarang tolong perbaiki lagi supaya bisa diakses kembali seperti semula,akun log out login susah banget tolong perbaiki diakses,"['akun', 'log', 'out', 'login', 'susah', 'banget', 'tolong', 'perbaiki', 'diakses']",akun log out login susah banget tolong baik akses,negatif,negatif,negatif,negatif
Pengguna Google,1,2025-02-04 18:45:20,Aplikasi busuk,aplikasi busuk,aplikasi busuk,"['aplikasi', 'busuk']",aplikasi busuk,negatif,negatif,negatif,negatif
Pengguna Google,1,2025-02-04 17:36:16,Join dari 2011 sampe 2025 belum pernah dapat offering latter dari sini. Kebanyakan ghosting HR nya. Ampun deh 14 tahun yg buang² waktu,join dari 2011 sampe 2025 belum pernah dapat offering latter dari sini kebanyakan ghosting hr nya ampun deh 14 tahun yg buang waktu,join 2011 sampe 2025 offering latter kebanyakan ghosting hr nya ampun deh 14 yg buang,"['join', '2011', 'sampe', '2025', 'offering', 'latter', 'kebanyakan', 'ghosting', 'hr', 'nya', 'ampun', 'deh', '14', 'yg', 'buang']",join 2011 sampe 2025 offering latter banyak ghosting hr nya ampun deh 14 yg buang,negatif,negatif,negatif,negatif
Pengguna Google,2,2025-02-04 14:32:40,Buat login susah. Gagal terus,buat login susah gagal terus,login susah gagal,"['login', 'susah', 'gagal']",login susah gagal,negatif,negatif,negatif,negatif
Pengguna Google,1,2025-02-04 14:24:31,"Aplikasi jobstreet makin hari makin jelek aja, pencarian tidak sesuai dengan yang kita cari, pas kirim lamaran kerja datanya tiba2 ngga ke baca",aplikasi jobstreet makin hari makin jelek aja pencarian tidak sesuai dengan yang kita cari pas kirim lamaran kerja datanya tiba2 ngga ke baca,aplikasi jobstreet jelek aja pencarian sesuai cari pas kirim lamaran kerja datanya tiba2 ngga baca,"['aplikasi', 'jobstreet', 'jelek', 'aja', 'pencarian', 'sesuai', 'cari', 'pas', 'kirim', 'lamaran', 'kerja', 'datanya', 'tiba2', 'ngga', 'baca']",aplikasi jobstreet jelek aja cari sesuai cari pas kirim lamar kerja data tiba2 ngga baca,negatif,negatif,negatif,negatif
Pengguna Google,2,2025-02-04 12:52:10,Setelah di-update sering ngelag,setelah diupdate sering ngelag,diupdate ngelag,"['diupdate', 'ngelag']",diupdate ngelag,negatif,negatif,negatif,negatif
