content,text_tokens_stemmed,Label,Label NB,Label NB Average,Label SVM,Label SVM Average
Tidak bisa login ..,login,negatif,negatif,negatif,negatif,negatif
Kenapa tidak bisa masuk ke jobstreet?,masuk jobstreet,positif,negatif,negatif,negatif,negatif
"Tidak ADA INFO cepat mengenai pemberitahuan lebih lanjut setelah mingisi form lamaran kerja, saya pikir ini aplikasi yg lambat dan tidak efisien dalam mencari pekerjaan karena masih abu""",info cepat pemberitahuan mingisi form lamar kerja pikir aplikasi yg lambat efisien cari kerja abu,negatif,positif,positif,negatif,positif
Susah masuk,susah masuk,negatif,negatif,negatif,negatif,negatif
"Akun tiba² log out sendiri, sekali mau login susah banget sekarang. Tolong perbaiki lagi supaya bisa diakses kembali seperti semula.",akun log out login susah banget tolong baik akses,negatif,negatif,negatif,negatif,negatif
Aplikasi busuk,aplikasi busuk,negatif,negatif,negatif,negatif,negatif
Join dari 2011 sampe 2025 belum pernah dapat offering latter dari sini. Kebanyakan ghosting HR nya. Ampun deh 14 tahun yg buang² waktu,join 2011 sampe 2025 offering latter banyak ghosting hr nya ampun deh 14 yg buang,negatif,negatif,negatif,negatif,negatif
Buat login susah. Gagal terus,login susah gagal,negatif,negatif,negatif,negatif,negatif
"Aplikasi jobstreet makin hari makin jelek aja, pencarian tidak sesuai dengan yang kita cari, pas kirim lamaran kerja datanya tiba2 ngga ke baca",aplikasi jobstreet jelek aja cari sesuai cari pas kirim lamar kerja data tiba2 ngga baca,negatif,negatif,negatif,negatif,negatif
Setelah di-update sering ngelag,diupdate ngelag,negatif,negatif,negatif,negatif,negatif
Good,good,positif,positif,positif,positif,positif
Aplikasi terbaik 👍🎉,aplikasi baik,positif,negatif,negatif,positif,positif
"Udh ga worth it, skrg jamannya ordal ama bayar calo [Maybe]...bkn salah apknya, trgntung perekonomian negara jg dll. ,3-4 thn belakangan msih sering dipanggil interview setidaknya walau msh blm diterima,seminggu bisa 4-5 interview. skrg udh ga sama sekali, di review juga engga, tapi makasih, dlu bnyk ketrima kerja dari apk ini juga, paling terpercaya jobnya",udh ga worth it skrg jaman ordal ama bayar calo maybebkn salah apknya trgntung ekonomi negara jg dll 34 thn msih panggil interview msh blm diterimaseminggu 45 interview skrg udh ga review engga makasih dlu bnyk ketrima kerja apk percaya jobnya,positif,negatif,negatif,positif,negatif
Terima kasih untuk info loker perkerjaan,terima kasih info loker kerja,positif,positif,positif,positif,positif
Bagus banget. Tapi gk di penerjemah kan,bagus banget gk terjemah,positif,negatif,negatif,positif,negatif
"susah untuk login, aplikasi nya jelek. buffering. 10 kali masukin kode verifikasi tetap gak bisa",susah login aplikasi nya jelek buffering 10 kali masukin kode verifikasi gak,negatif,negatif,negatif,negatif,negatif
"Ada gak seseorang yang melamar pekerjaan melalui jobstreet ini, lalu berhasil di panggil kerja?",gak lamar kerja jobstreet hasil panggil kerja,positif,negatif,negatif,negatif,negatif
Persaingan di perusahaan yang saya apply sangat ketat sekali jarang banget dapet panggilan dari pihak perusahaan,saing usaha apply ketat jarang banget dapet panggil usaha,positif,negatif,negatif,positif,negatif
"Bintang 2 dlu, gatau kenapa ini aplikasinya eror apa gimana ya? Udah di update tetep ga bisa masuk, terus di hapus dan di download ulang ga bisa masuk???",bintang 2 dlu gatau aplikasi eror gimana ya udah update tetep ga masuk hapus download ulang ga masuk,negatif,negatif,negatif,negatif,negatif
"Kenapa tiba"" saya tidak bisa akses akun saya ini Tidak bisa log in Tolong di bantu",akses akun log in tolong bantu,positif,negatif,negatif,negatif,negatif
"Cuma apply doang, di review mah kaga",apply doang review mah kaga,negatif,negatif,negatif,negatif,negatif
Gak tau kenapa gak bisa masuk. Padahal udah bener otpnya,gak tau gak masuk udah bener otpnya,negatif,negatif,negatif,negatif,negatif
"Gaguna banyak error nya, setiap mau bikin akun atau login ke akun kayak sampah",gaguna error nya bikin akun login akun kayak sampah,negatif,negatif,negatif,negatif,negatif
"Akun saya muter muter buat login..... Padahal jaringan sama hp nggak bermasalah. Saya minta tolong buat perbaikannya, soalny lebih dari 3 bulan saya ga bisa login",akun muter muter login jaring hp nggak masalah tolong baik soalny 3 ga login,negatif,negatif,negatif,negatif,negatif
"Kenapa sekarang nggak bisa sign in lagi, tolong diperbaiki lagi",nggak sign in tolong baik,negatif,negatif,negatif,negatif,negatif
ANEH APLIKASI TIDAK BISA LOGIN. PADAHAL SUDAH PUNYA AKUN,aneh aplikasi login akun,negatif,negatif,negatif,negatif,negatif
"Tolong diperbaiki lagi karena nulis pengalaman kalo Wiraswasta, tidak bisa ditulis nama perusahaan pribadi, dan di bagian lisensi kalo nulis Mini Bootcamp tidak ada, selain itu tidak bisa upload bukti Sertifikat di bagian Lisensi, tolong diperbaiki lagi supaya bisa pilih lebih dari satu bidang yang diinginkan.",tolong baik nulis alam kalo wiraswasta tulis nama usaha pribadi lisensi kalo nulis mini bootcamp upload bukti sertifikat lisensi tolong baik pilih bidang,positif,positif,negatif,positif,negatif
Ga bisa daftar loading nya lama kenapa ya,ga daftar loading nya ya,positif,negatif,negatif,negatif,negatif
Saya mau melamar pekerjaan langsung tolak di aplikasi Jobstreet dan perusahaan tdk panggil saya lewat Nomor WA saya melalui Aplikasi JobStreet.,lamar kerja langsung tolak aplikasi jobstreet usaha tdk panggil nomor wa aplikasi jobstreet,negatif,negatif,negatif,negatif,negatif
Gajelas bgt masa ke logout sndri trs gabisa login lagi aneh,gajelas bgt logout sndri trs gabisa login aneh,positif,negatif,negatif,negatif,negatif
"Saran saya hapus saja aplikasi kalian kalo login aja gagal terus, tidak berguna soalnya",saran hapus aplikasi kalo login aja gagal guna,negatif,negatif,negatif,negatif,negatif
Susah di gunakan muter aja kerjanya kayak gk niat apk ini,susah muter aja kerja kayak gk niat apk,negatif,negatif,negatif,negatif,negatif
